VALUE,SYMBOL,INDICATOR,PERIOD,UNITS
4061,487,Mėnesinis emigrantų skaičius | asmenys,2016M10,Mėnesinis emigrantų skaičius | asmenys
4972,487,Mėnesinis emigrantų skaičius | asmenys,2016M09,Mėnesinis emigrantų skaičius | asmenys
6769,487,Mėnesinis emigrantų skaičius | asmenys,2016M08,Mėnesinis emigrantų skaičius | asmenys
4719,487,Mėnesinis emigrantų skaičius | asmenys,2016M07,Mėnesinis emigrantų skaičius | asmenys
4188,487,Mėnesinis emigrantų skaičius | asmenys,2016M06,Mėnesinis emigrantų skaičius | asmenys
3785,487,Mėnesinis emigrantų skaičius | asmenys,2016M05,Mėnesinis emigrantų skaičius | asmenys
3723,487,Mėnesinis emigrantų skaičius | asmenys,2016M04,Mėnesinis emigrantų skaičius | asmenys
3478,487,Mėnesinis emigrantų skaičius | asmenys,2016M03,Mėnesinis emigrantų skaičius | asmenys
2900,487,Mėnesinis emigrantų skaičius | asmenys,2016M02,Mėnesinis emigrantų skaičius | asmenys
3445,487,Mėnesinis emigrantų skaičius | asmenys,2016M01,Mėnesinis emigrantų skaičius | asmenys
2768,,Mėnesinis emigrantų skaičius | asmenys,2015M12,Mėnesinis emigrantų skaičius | asmenys
3039,,Mėnesinis emigrantų skaičius | asmenys,2015M11,Mėnesinis emigrantų skaičius | asmenys
3401,,Mėnesinis emigrantų skaičius | asmenys,2015M10,Mėnesinis emigrantų skaičius | asmenys
3951,,Mėnesinis emigrantų skaičius | asmenys,2015M09,Mėnesinis emigrantų skaičius | asmenys
4965,,Mėnesinis emigrantų skaičius | asmenys,2015M08,Mėnesinis emigrantų skaičius | asmenys
5033,,Mėnesinis emigrantų skaičius | asmenys,2015M07,Mėnesinis emigrantų skaičius | asmenys
3319,,Mėnesinis emigrantų skaičius | asmenys,2015M06,Mėnesinis emigrantų skaičius | asmenys
3732,,Mėnesinis emigrantų skaičius | asmenys,2015M05,Mėnesinis emigrantų skaičius | asmenys
4846,,Mėnesinis emigrantų skaičius | asmenys,2015M04,Mėnesinis emigrantų skaičius | asmenys
3968,,Mėnesinis emigrantų skaičius | asmenys,2015M03,Mėnesinis emigrantų skaičius | asmenys
2671,,Mėnesinis emigrantų skaičius | asmenys,2015M02,Mėnesinis emigrantų skaičius | asmenys
2840,,Mėnesinis emigrantų skaičius | asmenys,2015M01,Mėnesinis emigrantų skaičius | asmenys
2168,,Mėnesinis emigrantų skaičius | asmenys,2014M12,Mėnesinis emigrantų skaičius | asmenys
2552,,Mėnesinis emigrantų skaičius | asmenys,2014M11,Mėnesinis emigrantų skaičius | asmenys
3215,,Mėnesinis emigrantų skaičius | asmenys,2014M10,Mėnesinis emigrantų skaičius | asmenys
3559,,Mėnesinis emigrantų skaičius | asmenys,2014M09,Mėnesinis emigrantų skaičius | asmenys
4303,,Mėnesinis emigrantų skaičius | asmenys,2014M08,Mėnesinis emigrantų skaičius | asmenys
3816,,Mėnesinis emigrantų skaičius | asmenys,2014M07,Mėnesinis emigrantų skaičius | asmenys
2996,,Mėnesinis emigrantų skaičius | asmenys,2014M06,Mėnesinis emigrantų skaičius | asmenys
3115,,Mėnesinis emigrantų skaičius | asmenys,2014M05,Mėnesinis emigrantų skaičius | asmenys
2802,,Mėnesinis emigrantų skaičius | asmenys,2014M04,Mėnesinis emigrantų skaičius | asmenys
2743,,Mėnesinis emigrantų skaičius | asmenys,2014M03,Mėnesinis emigrantų skaičius | asmenys
2406,,Mėnesinis emigrantų skaičius | asmenys,2014M02,Mėnesinis emigrantų skaičius | asmenys
2946,,Mėnesinis emigrantų skaičius | asmenys,2014M01,Mėnesinis emigrantų skaičius | asmenys
2039,,Mėnesinis emigrantų skaičius | asmenys,2013M12,Mėnesinis emigrantų skaičius | asmenys
2679,,Mėnesinis emigrantų skaičius | asmenys,2013M11,Mėnesinis emigrantų skaičius | asmenys
3508,,Mėnesinis emigrantų skaičius | asmenys,2013M10,Mėnesinis emigrantų skaičius | asmenys
3726,,Mėnesinis emigrantų skaičius | asmenys,2013M09,Mėnesinis emigrantų skaičius | asmenys
4745,,Mėnesinis emigrantų skaičius | asmenys,2013M08,Mėnesinis emigrantų skaičius | asmenys
4100,,Mėnesinis emigrantų skaičius | asmenys,2013M07,Mėnesinis emigrantų skaičius | asmenys
3011,,Mėnesinis emigrantų skaičius | asmenys,2013M06,Mėnesinis emigrantų skaičius | asmenys
2995,,Mėnesinis emigrantų skaičius | asmenys,2013M05,Mėnesinis emigrantų skaičius | asmenys
3352,,Mėnesinis emigrantų skaičius | asmenys,2013M04,Mėnesinis emigrantų skaičius | asmenys
2782,,Mėnesinis emigrantų skaičius | asmenys,2013M03,Mėnesinis emigrantų skaičius | asmenys
2634,,Mėnesinis emigrantų skaičius | asmenys,2013M02,Mėnesinis emigrantų skaičius | asmenys
3247,,Mėnesinis emigrantų skaičius | asmenys,2013M01,Mėnesinis emigrantų skaičius | asmenys
2102,,Mėnesinis emigrantų skaičius | asmenys,2012M12,Mėnesinis emigrantų skaičius | asmenys
2818,,Mėnesinis emigrantų skaičius | asmenys,2012M11,Mėnesinis emigrantų skaičius | asmenys
3685,,Mėnesinis emigrantų skaičius | asmenys,2012M10,Mėnesinis emigrantų skaičius | asmenys
3944,,Mėnesinis emigrantų skaičius | asmenys,2012M09,Mėnesinis emigrantų skaičius | asmenys
5040,,Mėnesinis emigrantų skaičius | asmenys,2012M08,Mėnesinis emigrantų skaičius | asmenys
4117,,Mėnesinis emigrantų skaičius | asmenys,2012M07,Mėnesinis emigrantų skaičius | asmenys
3505,,Mėnesinis emigrantų skaičius | asmenys,2012M06,Mėnesinis emigrantų skaičius | asmenys
3043,,Mėnesinis emigrantų skaičius | asmenys,2012M05,Mėnesinis emigrantų skaičius | asmenys
3306,,Mėnesinis emigrantų skaičius | asmenys,2012M04,Mėnesinis emigrantų skaičius | asmenys
3252,,Mėnesinis emigrantų skaičius | asmenys,2012M03,Mėnesinis emigrantų skaičius | asmenys
2677,,Mėnesinis emigrantų skaičius | asmenys,2012M02,Mėnesinis emigrantų skaičius | asmenys
3611,,Mėnesinis emigrantų skaičius | asmenys,2012M01,Mėnesinis emigrantų skaičius | asmenys
2599,,Mėnesinis emigrantų skaičius | asmenys,2011M12,Mėnesinis emigrantų skaičius | asmenys
3036,,Mėnesinis emigrantų skaičius | asmenys,2011M11,Mėnesinis emigrantų skaičius | asmenys
3768,,Mėnesinis emigrantų skaičius | asmenys,2011M10,Mėnesinis emigrantų skaičius | asmenys
5033,,Mėnesinis emigrantų skaičius | asmenys,2011M09,Mėnesinis emigrantų skaičius | asmenys
6439,,Mėnesinis emigrantų skaičius | asmenys,2011M08,Mėnesinis emigrantų skaičius | asmenys
5473,,Mėnesinis emigrantų skaičius | asmenys,2011M07,Mėnesinis emigrantų skaičius | asmenys
4598,,Mėnesinis emigrantų skaičius | asmenys,2011M06,Mėnesinis emigrantų skaičius | asmenys
4564,,Mėnesinis emigrantų skaičius | asmenys,2011M05,Mėnesinis emigrantų skaičius | asmenys
4822,,Mėnesinis emigrantų skaičius | asmenys,2011M04,Mėnesinis emigrantų skaičius | asmenys
4850,,Mėnesinis emigrantų skaičius | asmenys,2011M03,Mėnesinis emigrantų skaičius | asmenys
3789,,Mėnesinis emigrantų skaičius | asmenys,2011M02,Mėnesinis emigrantų skaičius | asmenys
