Data;Kauno m. sav.;Klaipedos m. sav.;Panevezio m. sav.;Siauliu m. sav.;Vilniaus m. sav.
2009M01;42;19;10;17;40
2009M02;38;15;9;10;35
2009M03;45;20;8;15;36
2009M04;60;19;11;13;40
2009M05;61;24;14;12;45
2009M06;53;19;7;14;38
2009M07;52;17;12;14;33
2009M08;47;20;16;22;22
2009M09;50;30;14;13;43
2009M10;64;22;13;14;50
2009M11;75;25;7;21;59
2009M12;56;19;10;13;52
2010M01;54;15;17;8;35
2010M02;40;14;8;10;27
2010M03;49;15;12;12;29
2010M04;42;14;8;14;28
2010M05;55;10;22;10;35
2010M06;48;26;7;19;41
2010M07;44;19;19;11;33
2010M08;35;19;12;15;26
2010M09;56;24;18;15;56
2010M10;49;24;21;11;57
2010M11;45;24;23;16;54
2010M12;38;23;16;20;41
2011M01;14;10;4;8;25
2011M02;24;12;10;3;28
2011M03;19;28;9;12;26
2011M04;20;18;10;5;27
2011M05;27;21;18;11;45
2011M06;18;20;21;16;48
2011M07;18;24;12;14;57
2011M08;24;30;17;9;65
2011M09;17;29;10;11;60
2011M10;19;19;12;13;60
2011M11;24;17;12;10;68
2011M12;27;35;20;31;70
2012M01;36;20;14;17;52
2012M02;19;17;9;10;37
2012M03;33;15;8;9;39
2012M04;26;16;24;6;42
2012M05;33;16;15;18;61
2012M06;30;19;8;7;55
2012M07;29;18;9;15;57
2012M08;34;20;12;18;35
2012M09;50;23;12;14;55
2012M10;53;20;18;10;53
2012M11;50;28;20;24;65
2012M12;37;17;10;13;48
2013M01;28;11;9;9;53
2013M02;26;9;5;9;36
2013M03;22;19;8;6;46
2013M04;25;20;14;10;38
2013M05;49;21;18;14;79
2013M06;27;25;15;12;70
2013M07;17;24;13;19;53
2013M08;19;28;16;16;70
2013M09;27;25;9;17;74
2013M10;48;23;18;21;80
2013M11;51;18;22;18;76
2013M12;34;20;20;12;77
2014M01;23;22;20;11;50
2014M02;36;10;10;8;32
2014M03;19;16;10;11;47
2014M04;38;18;14;9;67
2014M05;19;20;12;17;47
2014M06;37;18;13;16;54
2014M07;23;28;8;11;44
2014M08;33;19;14;14;57
2014M09;44;17;8;9;62
2014M10;39;18;11;12;46
2014M11;36;22;8;10;42
2014M12;56;27;17;20;67
2015M01;28;12;7;12;40
2015M02;26;6;6;6;27
2015M03;24;16;11;6;28
2015M04;31;15;12;10;44
2015M05;26;11;16;15;54
2015M06;35;10;15;18;50
2015M07;33;17;6;5;49
2015M08;21;32;11;18;62
2015M09;44;20;10;10;51
2015M10;44;20;10;16;45
2015M11;43;25;18;5;62
2015M12;36;16;13;13;60
2016M01;29;16;12;18;40
2016M02;30;20;8;10;38
2016M03;40;12;9;7;41
2016M04;44;16;6;11;53
2016M05;46;17;11;22;53
2016M06;44;23;7;16;58
2016M07;40;24;15;15;47
2016M08;54;22;14;14;57
2016M09;40;22;12;19;52
2016M10;38;13;16;19;60
2016M11;42;23;13;14;57
2016M12;66;23;19;12;71
2017M01;42;17;19;13;53
