;;Vartotoju kainu indeksai (2010 m.  -100) ;;;;;;vidutines mazmenines kuro kainos EUR;;;;;;;;;;;;;;;;
laikas;ivykiu_skaicius;alkoholiniai_gerimai;transporto_priemoniu_isigijimas;asmeniniu_transporto_priemoniu_eksploatacija;transporto_paslaugos;svietimas;transporto_priemoniu_draudimas ;benzinas_95;dyzelinas;pirma_karta_registruotos_priemones;keleiviu_vezimas_autobusais_tukstanciais;keleiviu_vezimas_viesuoju_tukstanciais;nedarbo_lygis_proc;gyventoju_sk;vid_temp;gryno_alko_1gyv;krituliai_mm;km_pravaziuota;auto_amzius_maziau2;auto_amzius_2ir5;auto_amzius_5ir10;auto_amzius_daugiau10;auto_kiekis;km_1gyv
2009M01;250;96,5211;114,3648;86,6177;96,2658;88,3052;106,6571;0,92;0,93;9369;23843,93;19418,33;10,7;3183856;-4;0,925;65;1502,308333;27600;67200;168200;1432400;1558450;471,8518466
2009M02;235;99,5132;113,9039;86,8566;97,3951;89,1904;108,9911;0,94;0,9;9505;23843,93;19418,33;12,3;3180433;-4;0,925;51;1502,308333;27600;67200;168200;1432400;1558450;472,3596859
2009M03;201;99,864;113,8344;86,1726;98,2366;89,1853;107,8703;0,95;0,86;12488;23843,93;19418,33;13,4;3176980;1;0,925;41;1502,308333;27600;67200;168200;1432400;1558450;472,8730848
2009M04;285;99,5573;105,976;86,5111;98,9734;89,0551;102,025;0,97;0,86;13569;22584,43;18078;13,8;3172794;8;0,925;47;1502,308333;27600;67200;168200;1432400;1558450;473,4969661
2009M05;341;99,6452;103,6691;89,3017;98,8992;89,0425;101,4036;1,03;0,89;11942;22584,43;18078;13,8;3169575;13;0,925;62;1502,308333;27600;67200;168200;1432400;1558450;473,9778466
2009M06;301;97,9889;103,6777;92,6989;100,556;88,7024;108,9039;1,08;0,94;12006;22584,43;18078;13,7;3166640;17;0,925;82;1502,308333;27600;67200;168200;1432400;1558450;474,4171529
2009M07;329;97,6156;103,358;90,9509;101,4419;88,7024;105,4631;1,04;0,92;12075;18821,37;14795,03;13,7;3163915;18;0,925;78;1502,308333;27600;67200;168200;1432400;1558450;474,8257564
2009M08;325;97,7022;101,5094;92,8759;101,6287;88,8574;102,752;1,09;0,89;10851;18821,37;14795,03;13,8;3161433;17;0,925;82;1502,308333;27600;67200;168200;1432400;1558450;475,1985359
2009M09;306;99,0312;102,2568;92,0116;99,1753;100,6763;99,9894;1,07;0,87;11068;18821,37;14795,03;13,8;3157454;13;0,925;63;1502,308333;27600;67200;168200;1432400;1558450;475,7973776
2009M10;334;100,2805;102,4161;91,6025;98,9733;101,189;99,7214;1,06;0,87;12084;23345,73;19197,8;14,5;3153848;8;0,925;58;1502,308333;27600;67200;168200;1432400;1558450;476,3413877
2009M11;300;100,3304;102,0864;93,5614;98,7513;100,7465;99,5258;1,09;0,91;10473;23345,73;19197,8;15,5;3149814;3;0,925;55;1502,308333;27600;67200;168200;1432400;1558450;476,9514432
2009M12;309;99,04;101,8004;92,7828;100,6054;100,7308;99,2541;1,08;0,89;11473;23345,73;19197,8;16,6;3146139;-3;0,925;59;1502,308333;27600;67200;168200;1432400;1558450;477,5085694
2010M01;209;99,5819;101,92;96,1733;100,1323;100,783;99,2541;1,13;0,95;6596;22700,13;18258,63;17,8;3141976;-4;0,958333333;67;1357,033333;13300;71500;162300;1444700;1554270;431,9044235
2010M02;158;99,5659;101,685;96,9813;99,1719;100,8166;100,4123;1,14;0,96;8767;22700,13;18258,63;18,4;3139420;-5;0,958333333;51;1357,033333;13300;71500;162300;1444700;1554270;432,2560642
2010M03;201;100,7376;100,7036;98,0339;99,3325;100,8589;96,9166;1,16;0,98;13994;22700,13;18258,63;18,5;3136871;-1;0,958333333;41;1357,033333;13300;71500;162300;1444700;1554270;432,6073125
